sp_id,loc_id,time_bucket,repetitive_demand_quantity
8575472,3,202109,97
8575472,3,202110,52
8575472,3,202111,13
8575472,3,202112,69
8575472,3,202201,117
8575472,3,202202,88
8575472,3,202203,107
8575472,3,202204,65
8575472,3,202205,103
8575472,3,202206,44.99
8575472,3,202207,54
8575472,3,202208,29
8575472,3,202209,101
8575472,3,202210,71
8575472,3,202211,15
8575472,3,202212,84
8575472,3,202301,150
8575472,3,202302,150
8575472,3,202303,130
8575472,3,202304,96
8575472,3,202305,74
8575472,3,202306,45
8575472,3,202307,78
8575472,3,202308,77
8575472,3,202309,111
8575472,3,202310,103
8575472,3,202311,92
8575472,3,202312,127
8575472,3,202401,105
8575472,3,202402,85
8575472,3,202403,118.99
8575472,3,202404,141
8575472,3,202405,188
8575472,3,202406,133
8575472,3,202407,140
8575472,3,202408,128
8575472,3,202409,113
8575472,3,202410,157
8575472,3,202411,123
8575472,3,202412,149
8575472,3,202501,125
8575472,3,202502,145
8575472,3,202503,230
8271129,3,202104,3
8271129,3,202105,6
8271129,3,202106,1
8271129,3,202107,10
8271129,3,202108,18
8271129,3,202109,9
8271129,3,202110,16
8271129,3,202111,7
8271129,3,202112,11
8271129,3,202201,1
8271129,3,202202,2
8271129,3,202203,23
8271129,3,202204,4
8271129,3,202205,28
8271129,3,202206,16
8271129,3,202207,27
8271129,3,202208,11
8271129,3,202209,9
8271129,3,202210,10
8271129,3,202211,6
8271129,3,202212,3
8271129,3,202301,17
8271129,3,202302,8
8271129,3,202303,27
8271129,3,202304,24
8271129,3,202305,12
8271129,3,202306,3
8271129,3,202307,11
8271129,3,202308,22
8271129,3,202309,40
8271129,3,202310,30
8271129,3,202311,9
8271129,3,202312,10
8271129,3,202401,20
8271129,3,202402,13
8271129,3,202403,15
8271129,3,202404,6
8271129,3,202405,9
8271129,3,202406,22
8271129,3,202407,17
8271129,3,202408,15
8271129,3,202409,10
8271129,3,202410,6
8271129,3,202411,9
8271129,3,202412,6
8271129,3,202501,21
8271129,3,202502,9
8271129,3,202503,6
8606896,3,202104,3
8606896,3,202105,1
8606896,3,202106,7
8606896,3,202107,4
8606896,3,202108,4
8606896,3,202109,3
8606896,3,202110,6
8606896,3,202111,4
8606896,3,202112,2
8606896,3,202201,5
8606896,3,202202,4
8606896,3,202203,6
8606896,3,202204,5
8606896,3,202205,10
8606896,3,202206,11
8606896,3,202207,8
8606896,3,202208,10
8606896,3,202209,5
8606896,3,202210,12
